Suburb,Location [Deg],Distance to CBD [km],Price [$],Venue #1,Venue #2,Venue #3,Venue #4,Venue #5,Venue #6,Venue #7,Venue #8,Venue #9,Venue #10
Welshpool,"(-31.9921285, 115.9325126)",8.090811302009532,"546,500",Seafood Restaurant,Liquor Store,Chinese Restaurant,Supermarket,Pharmacy,Event Space,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Service
Hazelmere,"(-31.9109095, 116.0030678)",14.25807361760417,"545,000",Racetrack,Art Gallery,Soccer Field,Rental Car Location,Burger Joint,Fast Food Restaurant,IT Services,Field,Fish & Chips Shop,Dry Cleaner
Boya,"(-31.9181116, 116.0566352)",18.94098952644053,"541,500",Food Court,Park,Grocery Store,Gym / Fitness Center,Athletics & Sports,Field,Fast Food Restaurant,Farmers Market,Farm,Fish & Chips Shop
Samson,"(-32.0696744, 115.7975399)",14.26790421523092,"538,000",Skate Park,Pharmacy,Bakery,Grocery Store,Shopping Mall,Liquor Store,Fast Food Restaurant,Home Service,Farmers Market,Farm
Osborne Park,"(-31.9033165, 115.814291)",7.0056416283452885,"537,900",Home Service,Shopping Mall,Grocery Store,Pizza Place,Field,Fast Food Restaurant,Farmers Market,Farm,Dry Cleaner,Falafel Restaurant
Edgewater,"(-31.76322, 115.7818)",22.292068293502656,"532,600",Scenic Lookout,Camera Store,Asian Restaurant,Seafood Restaurant,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market,Farm,Dry Cleaner
Aubin Grove,"(-32.1653561, 115.8644764)",23.582655069191713,"531,700",Park,Liquor Store,Gym / Fitness Center,Home Service,Shipping Store,Cafe,Italian Restaurant,Grocery Store,Coffee Shop,Eastern European Restaurant
Hamersley,"(-31.8502941, 115.8051957)",12.502837581350851,"526,900",Japanese Restaurant,Gas Station,Park,Thai Restaurant,Soccer Field,Business Service,Pharmacy,Yoga Studio,Electronics Store,Event Service
Glen Forrest,"(-31.9077456, 116.1027118)",23.44298404552529,"523,800",Cafe,Park,Halal Restaurant,Pharmacy,Donut Shop,Bar,Train Station,Grocery Store,Gas Station,Football Stadium
Landsdale,"(-31.809048, 115.8662569)",15.939530001208166,"521,900",Construction & Landscaping,Fish & Chips Shop,Shopping Mall,Rest Area,Field,Fast Food Restaurant,Farmers Market,Farm,Donut Shop,Falafel Restaurant
Tuart Hill,"(-31.8986812, 115.8346053)",6.471660408759343,"519,400",Cafe,Seafood Restaurant,Italian Restaurant,Pizza Place,Burger Joint,Bakery,Coffee Shop,Asian Restaurant,Tapas Restaurant,Frozen Yogurt Shop
Willagee,"(-32.05211, 115.8043)",12.233655584821724,"518,300",Restaurant,Italian Restaurant,Business Service,Golf Course,Yoga Studio,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Event Space
Darch,"(-31.8128978, 115.8460713)",15.563093976313455,"517,200",Grocery Store,Cafe,Shopping Mall,Basketball Court,Yoga Studio,Falafel Restaurant,Electronics Store,Event Service,Event Space,Farm
Currambine,"(-31.7354623, 115.7456718)",26.427158059848338,"516,000",Park,Golf Course,Chinese Restaurant,Pet Store,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Yoga Studio
Padbury,"(-31.8086572, 115.7728199)",17.998383882393476,"515,000",Liquor Store,Print Shop,Sandwich Place,Bakery,Fast Food Restaurant,Dance Studio,Train Station,Electronics Store,Yoga Studio,Event Service
Greenwood,"(-31.8291292, 115.7982429)",14.914843559344266,"510,500",Athletics & Sports,Auto Garage,Electronics Store,Pharmacy,Deli / Bodega,Fast Food Restaurant,Event Service,Event Space,Falafel Restaurant,Farm
Noranda,"(-31.8762931, 115.8952097)",9.088137607619394,"510,200",Cafe,Park,Athletics & Sports,Liquor Store,Seafood Restaurant,Chinese Restaurant,Tennis Court,Malay Restaurant,Grocery Store,Pub
Joondalup,"(-31.7430766, 115.7721181)",24.70398038704369,"509,900",Fast Food Restaurant,Vietnamese Restaurant,Golf Course,Pizza Place,Grocery Store,Shopping Mall,Coffee Shop,Gift Shop,Falafel Restaurant,Farm
Southern River,"(-32.0712873, 115.9750775)",17.032679897041785,"509,800",Farm,Gym / Fitness Center,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farmers Market,Dry Cleaner
Atwell,"(-32.1484601, 115.8659034)",21.712087707975048,"508,900",Park,Beach,Fast Food Restaurant,Thai Restaurant,Sandwich Place,Cafe,Grocery Store,Liquor Store,Health & Beauty Service,Sports Bar
Beeliar,"(-32.1410864, 115.8243772)",21.16483845288017,"507,000",Cafe,Grocery Store,Fast Food Restaurant,Park,Gym,Sandwich Place,Tea Room,Golf Course,Bakery,Cocktail Bar
South Guildford,"(-31.910613, 115.9760781)",11.886401587303851,"506,700",Pub,Playground,Soccer Field,Grocery Store,Park,IT Services,Cuban Restaurant,Dry Cleaner,Fish & Chips Shop,Field
Jane Brook,"(-31.8789349, 116.1767361)",31.00988580591841,"499,600",Pizza Place,Cafe,College Cafeteria,Grocery Store,College Bookstore,Tennis Court,Thai Restaurant,Beer Garden,Bus Station,Bowling Green
Balcatta,"(-31.8709062, 115.8198022)",9.853266041791466,"497,500",Grocery Store,Shopping Mall,Park,Liquor Store,Bakery,Cafe,Dumpling Restaurant,Electronics Store,Event Service,Event Space
Harrisdale,"(-32.1186965, 115.9314593)",19.58866280525417,"494,500",Liquor Store,Fish & Chips Shop,Pharmacy,Yoga Studio,Falafel Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Farm
Hammond Park,"(-32.1619004, 115.8469467)",23.23161025977871,"492,300",Cafe,Sandwich Place,Liquor Store,Train Station,Department Store,Supermarket,Japanese Restaurant,Food Court,Movie Theater,Juice Bar
Sawyers Valley,"(-31.9039193, 116.2055141)",33.07424805672209,"485,600",Convenience Store,Stadium,Gym,Gas Station,Fast Food Restaurant,Falafel Restaurant,Electronics Store,Event Service,Event Space,Farmers Market
Mount Richon,"(-32.1572863, 116.0174673)",27.0996501798168,"483,500",Winery,Stables,Comedy Club,Farmers Market,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
Kinross,"(-31.7148731, 115.7412603)",28.68581263179244,"483,200",Fast Food Restaurant,Cafe,Pub,Thrift / Vintage Store,Deli / Bodega,Sandwich Place,Supermarket,Electronics Store,Trail,Juice Bar
Hocking,"(-31.7692851, 115.8189914)",20.7146820816352,"479,900",Grocery Store,Supermarket,Vietnamese Restaurant,Video Game Store,Gym / Fitness Center,Donut Shop,Cafe,Discount Store,Electronics Store,Juice Bar
Success,"(-32.1451437, 115.8495969)",21.363029389256774,"477,100",Portuguese Restaurant,Asian Restaurant,Gas Station,Cafe,Supermarket,Sandwich Place,Chinese Restaurant,Fast Food Restaurant,Japanese Restaurant,Liquor Store
Piara Waters,"(-32.1251145, 115.9178022)",19.869187992379672,"474,500",Sports Club,Indie Movie Theater,Cafe,Theater,Greek Restaurant,Grocery Store,Japanese Restaurant,Park,Department Store,Dessert Shop
Tapping,"(-31.7182317, 115.7939809)",26.751278586934266,"469,000",Cafe,Farmers Market,Bakery,Farm,Electronics Store,Event Service,Event Space,Falafel Restaurant,Yoga Studio,Dumpling Restaurant
Spearwood,"(-32.0979276, 115.7816402)",17.741497454039052,"468,300",Coffee Shop,Pizza Place,Sushi Restaurant,Cafe,Lake,Soccer Stadium,Restaurant,Supermarket,French Restaurant,Bakery
Champion Lakes,"(-32.117917, 115.987317)",21.88897687868637,"466,600",Coffee Shop,Cafe,Pub,Sushi Restaurant,Ice Cream Shop,Grocery Store,Seafood Restaurant,Sandwich Place,Bookstore,Theater
Quinns Rocks,"(-31.6698291, 115.6980227)",34.93580388947813,"465,900",Pub,Cafe,Australian Restaurant,Farm,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farmers Market,Dumpling Restaurant
Caversham,"(-31.8750099, 115.9748193)",13.82705104026102,"460,900",Fast Food Restaurant,Cafe,Department Store,Video Game Store,Diner,Sandwich Place,Big Box Store,Supermarket,Shopping Mall,Coffee Shop
Morley,"(-31.8934573, 115.9030854)",7.707579301470917,"454,700",Grocery Store,Sports Club,Supermarket,Gas Station,Gym,Seafood Restaurant,Farmers Market,Fast Food Restaurant,Farm,Dry Cleaner
Wandi,"(-32.1943168, 115.876973)",26.836306384726747,"454,000",Cafe,Fast Food Restaurant,Chinese Restaurant,Supermarket,Pizza Place,Yoga Studio,Falafel Restaurant,Electronics Store,Event Service,Event Space
Cockburn Central,"(-32.122797, 115.8498069)",18.88720617262005,"452,000",Australian Restaurant,Home Service,Grocery Store,Park,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
Pearsall,"(-31.780478, 115.8189561)",19.49812277538327,"450,800",Pizza Place,Fast Food Restaurant,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
Yangebup,"(-32.1220078, 115.8187448)",19.182196858944604,"448,100",College Quad,Theater,Pub,Cafe,Asian Restaurant,Gym,Coffee Shop,Event Space,Eastern European Restaurant,Electronics Store
Mundijong,"(-32.2958316, 115.9851981)",39.82681024768075,"445,500",Chinese Restaurant,Fast Food Restaurant,Electronics Store,Grocery Store,Sandwich Place,Japanese Restaurant,Sporting Goods Shop,Pizza Place,German Restaurant,Supermarket
Wanneroo,"(-31.6520862, 115.73927894005408)",35.25488024955788,"441,100",Cafe,Hobby Shop,Grocery Store,Fast Food Restaurant,Spa,French Restaurant,Malay Restaurant,Gas Station,Thai Restaurant,Bakery
Coolbellup,"(-32.0822012, 115.8075715)",15.203832183123591,"440,300",Grocery Store,Liquor Store,Bakery,Pharmacy,Seafood Restaurant,Yoga Studio,Event Space,Eastern European Restaurant,Electronics Store,Event Service
East Cannington,"(-32.00822, 115.9584)",11.114659100070712,"436,400",Cafe,Fast Food Restaurant,Supermarket,Video Store,Chinese Restaurant,Bakery,Park,Shopping Mall,Sandwich Place,Stationery Store
Ballajura,"(-31.8380114, 115.8927134)",13.079020955407614,"436,000",Beach,Shopping Mall,Liquor Store,Seafood Restaurant,Pizza Place,Grocery Store,Italian Restaurant,Cafe,Eastern European Restaurant,Electronics Store
Kewdale,"(-31.9790733, 115.9454786)",8.549993630015619,"431,100",Park,Harbor / Marina,Cafe,Beach,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market,Dumpling Restaurant,Falafel Restaurant
Sinagra,"(-31.741842, 115.8080788)",23.902375547813893,"427,600",Cafe,Beach,Australian Restaurant,Pub,Train Station,Deli / Bodega,Restaurant,Rock Club,Burger Joint,Breakfast Spot
Bennett Springs,"(-31.8580515, 115.9422606)",13.0390228085675,"426,900",Home Service,Lake,Basketball Court,Yoga Studio,Farm,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant
Heathridge,"(-31.7585, 115.7606)",23.518345015773697,"425,400",Cafe,Pizza Place,Restaurant,Bar,Bakery,Indian Restaurant,Pharmacy,Park,Coffee Shop,Pub
Beldon,"(-31.77378, 115.7682)",21.677561237686053,"423,100",Cafe,Coffee Shop,Hotel,Vietnamese Restaurant,Bar,Japanese Restaurant,Cocktail Bar,Restaurant,Asian Restaurant,Indian Restaurant
Bullsbrook,"(-31.6637374, 116.0272659)",35.7230528312948,"420,900",Park,Gas Station,Grocery Store,Shopping Mall,Harbor / Marina,Yoga Studio,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Service
Embleton,"(-31.90378, 115.9104)",7.192078236226858,"419,100",Dog Run,Chinese Restaurant,Yoga Studio,Farm,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farmers Market,Dumpling Restaurant
Alexander Heights,"(-31.8271578, 115.865815)",13.931221458020039,"418,800",Electronics Store,Paper / Office Supplies Store,Music Store,Food & Drink Shop,Bookstore,Thrift / Vintage Store,Furniture / Home Store,Toy / Game Store,Gourmet Shop,Cafe
Byford,"(-32.2160061, 116.01467)",32.6238021658365,"416,300",Pizza Place,Fried Chicken Joint,Grocery Store,Liquor Store,Field,Fast Food Restaurant,Fish & Chips Shop,Farmers Market,Farm,Dry Cleaner
Aveley,"(-31.787069, 115.9862261)",21.884709028034095,"415,800",Pub,Australian Restaurant,Indian Restaurant,Business Service,Yoga Studio,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm
Belmont,"(-31.9545783, 115.94262889096386)",7.769203659553193,"415,700",Fast Food Restaurant,Arts & Crafts Store,Asian Restaurant,Yoga Studio,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Farmers Market
Dayton,"(-31.8557737, 115.9740664)",15.198085291017016,"408,200",Liquor Store,Grocery Store,Electronics Store,Pizza Place,Seafood Restaurant,Yoga Studio,Event Space,Dumpling Restaurant,Eastern European Restaurant,Event Service
Beckenham,"(-32.0215834, 115.9648379)",12.473633702340555,"407,500",Cafe,Park,Grocery Store,Pharmacy,Bakery,Coffee Shop,Fast Food Restaurant,Supermarket,Sandwich Place,Pub
Whitby,"(-32.2846227, 116.0138094)",39.54743917430525,"406,200",Cafe,Coffee Shop,Vietnamese Restaurant,Hotel,Cocktail Bar,Bar,Restaurant,Speakeasy,Theater,Pedestrian Plaza
Cloverdale,"(-31.962035, 115.9446953)",8.028321638157328,"403,200",Supermarket,Pub,Fast Food Restaurant,Shopping Mall,Event Space,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Farm
Upper Swan,"(-31.7659017, 116.0295461)",26.174087068087267,"401,300",Fish & Chips Shop,Coffee Shop,Yoga Studio,Farm,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farmers Market
Mount Nasura,"(-32.1378332, 116.0276574)",25.89764590121821,"401,000",National Park,Yoga Studio,Dumpling Restaurant,Flower Shop,Flea Market,Fish Market,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market
Viveash,"(-31.8780623, 115.9971455)",15.34911330670779,"400,300",Cafe,Mediterranean Restaurant,Bakery,Grocery Store,Shopping Mall,Beach,Falafel Restaurant,Electronics Store,Event Service,Event Space
Wellard,"(-32.2660784, 115.8481091)",34.76839866750474,"400,200",Fast Food Restaurant,Electronics Store,Sporting Goods Shop,Movie Theater,Big Box Store,Cafe,Supermarket,Steakhouse,Multiplex,Coffee Shop
Forrestfield,"(-31.9858122, 116.0075629)",14.379316754455564,"399,000",Farm,Grocery Store,Bakery,Health & Beauty Service,Falafel Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Yoga Studio
High Wycombe,"(-31.9434617, 116.0056139)",13.760200899884815,"393,700",Bowling Green,Grocery Store,Cafe,Pizza Place,Seafood Restaurant,Yoga Studio,Event Space,Eastern European Restaurant,Electronics Store,Event Service
Eden Hill,"(-31.8910455, 115.943861)",10.437462405330823,"391,300",Park,Cafe,Tennis Court,Falafel Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Yoga Studio,Dumpling Restaurant
Nollamara,"(-31.8804371, 115.843598)",8.171736330953799,"389,000",Fast Food Restaurant,Garden Center,Electronics Store,Thai Restaurant,Sandwich Place,Ice Cream Shop,Chinese Restaurant,Malay Restaurant,Gym,Pet Store
Bentley,"(-31.9998417, 115.9188941)",7.6022985326365,"388,600",Pub,Grocery Store,Farmers Market,Falafel Restaurant,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Farm
Marangaroo,"(-31.8291339, 115.8375096)",13.874194180675227,"388,000",River,Photography Studio,Yoga Studio,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Dry Cleaner
Rockingham,"(-32.2851899, 115.7426524)",38.50841720993323,"383,300",Bakery,Sushi Restaurant,Animal Shelter,Grocery Store,French Restaurant,Deli / Bodega,Italian Restaurant,Yoga Studio,Event Service,Event Space
South Lake,"(-32.1100323, 115.8455255)",17.50191908850535,"382,000",Restaurant,Cupcake Shop,Carpet Store,Fish Market,Fish & Chips Shop,Flea Market,Field,Fast Food Restaurant,Farmers Market,Dry Cleaner
Swan View,"(-31.8800199, 116.0471182)",19.40532454815166,"381,600",Beach,Asian Restaurant,Park,Liquor Store,Cafe,Italian Restaurant,Hotel,Fast Food Restaurant,Field,Fish & Chips Shop
Brabham,"(-31.8283583, 115.9764153)",17.61916560560637,"377,700",Cafe,Pub,Gym,Grocery Store,Bakery,Beach,Discount Store,Coffee Shop,Night Market,Sandwich Place
Thornlie,"(-32.0549489, 115.9649793)",15.033924446691346,"377,400",Park,Chinese Restaurant,Cafe,Diner,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Yoga Studio
Kiara,"(-31.8816321, 115.9384491)",10.793538680608675,"373,800",Grocery Store,Lake,Gastropub,Shopping Mall,Yoga Studio,Dry Cleaner,Eastern European Restaurant,Electronics Store,Event Service,Event Space
Glendalough,"(-31.91822, 115.824)",5.15044827235542,"372,100",Cafe,Coffee Shop,Hotel,Italian Restaurant,Sports Club,Supermarket,Sandwich Place,Tennis Court,Laundromat,Bakery
Hilbert,"(-32.1719378, 115.9784985)",26.742262580351753,"363,600",Pizza Place,Mediterranean Restaurant,Gas Station,Asian Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Yoga Studio
Clarkson,"(-31.6907588, 115.7373803)",31.29723673463607,"363,000",Fast Food Restaurant,Soccer Field,Pie Shop,Sandwich Place,Shopping Mall,Supermarket,Gas Station,Pizza Place,Portuguese Restaurant,Farm
Butler,"(-31.6451205, 115.705196)",37.14179110076904,"362,400",Bar,Department Store,Chinese Restaurant,Fast Food Restaurant,Fish Market,Fish & Chips Shop,Field,Flea Market,Dumpling Restaurant,Farmers Market
Banksia Grove,"(-31.6954676, 115.8034438)",29.030829069116663,"361,500",Cafe,Coffee Shop,Supermarket,Japanese Restaurant,Asian Restaurant,Indian Restaurant,Theater,Burger Joint,Gym,Moroccan Restaurant
Ellenbrook,"(-31.782739, 115.9665616)",21.353988316773034,"360,400",Playground,Toy / Game Store,Other Repair Shop,Circus,Pet Store,Event Space,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Service
Bertram,"(-32.2452415, 115.844506)",32.473181881956265,"359,600",Pub,Trail,Bakery,Pizza Place,Supermarket,Grocery Store,Event Space,Dumpling Restaurant,Eastern European Restaurant,Electronics Store
Cannington,"(-32.0200315, 115.9429164)",10.789858492139249,"353,200",Cafe,Australian Restaurant,Grocery Store,Deli / Bodega,Pizza Place,Bakery,Train Station,Bookstore,Farm,Event Service
Beechboro,"(-31.8695832, 115.9374824)",11.74788921802778,"350,300",Fish & Chips Shop,Fried Chicken Joint,Cafe,Sandwich Place,Park,Shopping Mall,Gym,Pharmacy,Supermarket,Event Space
Mirrabooka,"(-31.8629562, 115.8642381)",9.958948074940707,"347,400",Hotel,Gym / Fitness Center,Cafe,Golf Course,Park,Dance Studio,Eastern European Restaurant,Flea Market,Fish Market,Fish & Chips Shop
Westminster,"(-31.8670748, 115.838167)",9.727606600046792,"346,600",Pizza Place,Middle Eastern Restaurant,Malay Restaurant,Shopping Mall,Fast Food Restaurant,Asian Restaurant,Supermarket,Grocery Store,Dim Sum Restaurant,Falafel Restaurant
Kenwick,"(-32.033881, 115.9847507)",14.796029295181244,"342,700",Beach,Sports Club,Cafe,Seafood Restaurant,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market,Food,Falafel Restaurant
Middle Swan,"(-31.8599389, 116.0180672)",18.11122856860268,"330,900",Italian Restaurant,Pharmacy,Liquor Store,Seafood Restaurant,Bar,Bookstore,Gym,Lebanese Restaurant,Pub,Asian Restaurant
Langford,"(-32.0419571, 115.9400329)",12.427579759927644,"313,000",Fast Food Restaurant,Home Service,Farmers Market,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Yoga Studio
Maddington,"(-32.04934, 115.9898)",16.25202825074108,"307,200",Gift Shop,Gym,Event Space,Deli / Bodega,Auto Garage,Falafel Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Yoga Studio
Kelmscott,"(-32.1164024, 116.0163062)",23.369104224291586,"307,100",Home Service,Yoga Studio,Farmers Market,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farm,Fast Food Restaurant
Midvale,"(-31.8863833, 116.0268514)",17.36880396529245,"305,700",Sporting Goods Shop,Food Court,Cafe,Sandwich Place,Electronics Store,Yoga Studio,Falafel Restaurant,Event Service,Event Space,Farmers Market
Seville Grove,"(-32.1360525, 115.9915227)",23.801229778296385,"305,600",Pub,Farm,Dry Cleaner,Flower Shop,Flea Market,Fish Market,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market
Merriwa,"(-31.6656152, 115.7125031)",34.78143434288675,"300,800",Park,Cafe,Beach,Miscellaneous Shop,Liquor Store,Thai Restaurant,Grocery Store,Italian Restaurant,Falafel Restaurant,Event Service
Midland,"(-31.8890099, 116.002453)",15.171682941858338,"294,800",Australian Restaurant,Yoga Studio,Farm,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Falafel Restaurant,Farmers Market,Dry Cleaner
Bellevue,"(-31.9015253, 116.0288929)",16.90763578896668,"293,400",Sandwich Place,Train Station,Gas Station,Auto Garage,Thrift / Vintage Store,Yoga Studio,Event Space,Eastern European Restaurant,Electronics Store,Event Service
Balga,"(-31.8568272, 115.8388865)",10.82662176091943,"292,700",Coffee Shop,Gym,Spanish Restaurant,Cafe,Seafood Restaurant,Food Court,Bowling Green,Sandwich Place,Fried Chicken Joint,Gas Station
Koondoola,"(-31.8424891, 115.8638624)",12.226268048949473,"288,800",Park,Golf Course,Yoga Studio,Flea Market,Fish Market,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market,Farm
Girrawheen,"(-31.8418128, 115.8402759)",12.444708224689323,"284,500",Cafe,Coffee Shop,Supermarket,Seafood Restaurant,Bar,Bakery,Nightclub,Italian Restaurant,Tapas Restaurant,Burger Joint
Gosnells,"(-32.0735275, 116.0009727)",18.859162664107927,"283,200",Cafe,Hotel,Coffee Shop,Bar,Bakery,Sandwich Place,Scenic Lookout,Motel,Sporting Goods Shop,Science Museum
Leda,"(-32.2645855, 115.8022344)",35.017429040923055,"283,200",Farm,Furniture / Home Store,Wine Shop,Garden,Vineyard,Dessert Shop,Eastern European Restaurant,Electronics Store,Event Service,Event Space
Cooloongup,"(-32.2966958, 115.7685636)",39.117733474662906,"279,800",Liquor Store,Grocery Store,Plaza,Cafe,Fast Food Restaurant,Falafel Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Event Space
Stratton,"(-31.867155, 116.040477)",19.489952131671096,"262,100",Park,Farm,Yoga Studio,Flower Shop,Flea Market,Fish Market,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market
Orelia,"(-32.2328272, 115.8233058)",31.259114922487946,"260,800",Park,Athletics & Sports,Roller Rink,Golf Course,Bar,Cafe,Restaurant,Grocery Store,Pet Store,Soccer Field
Lockridge,"(-31.881459, 115.9499826)",11.57934340037827,"256,100",Donut Shop,Grocery Store,Chinese Restaurant,Dance Studio,Falafel Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Event Space,Yoga Studio
Parmelia,"(-32.2466315, 115.8264989)",32.74974296337397,"251,100",Pizza Place,Japanese Restaurant,Bubble Tea Shop,Shopping Mall,Cafe,Food Court,Moving Target,Sandwich Place,Laser Tag,Korean Restaurant
Calista,"(-32.2471289, 115.8074271)",33.02927184538955,"237,000",Furniture / Home Store,Park,Sporting Goods Shop,Asian Restaurant,Shopping Mall,Pet Store,Deli / Bodega,Cafe,Arts & Crafts Store,Pharmacy
Armadale,"(-32.152266, 116.0147457)",26.49340783024313,"235,000",Park,Pizza Place,Gastropub,Chinese Restaurant,Grocery Store,Cafe,Liquor Store,Farmers Market,Farm,Dumpling Restaurant
Camillo,"(-32.112701, 116.0031528)",22.27912593577692,"228,400",Hotel,Food & Drink Shop,Flower Shop,Flea Market,Fish Market,Fish & Chips Shop,Field,Fast Food Restaurant,Farmers Market,Farm
Koongamia,"(-31.9059442, 116.0416149)",17.896966093953036,"228,200",Park,Hockey Rink,Grocery Store,Fast Food Restaurant,Falafel Restaurant,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Service,Event Space
Medina,"(-32.2339888, 115.8063972)",31.60538452524273,"198,300",Pub,Italian Restaurant,Golf Course,Shopping Mall,Coffee Shop,Bookstore,Liquor Store,Supermarket,Home Service,Farm
